Device,Inventory Name,Description,Product ID,Product Version,Serial Number
192.168.160.132,3725 chassis,3725 chassis,,0.1,FTX0945W0MY
192.168.160.132,16 Port 10BaseT/100BaseTX EtherSwitch,16 Port 10BaseT/100BaseTX EtherSwitch,NM-16ESW=,1.0,00000000000
192.168.160.133,3725 chassis,3725 chassis,,0.1,FTX0945W0MY
192.168.160.133,16 Port 10BaseT/100BaseTX EtherSwitch,16 Port 10BaseT/100BaseTX EtherSwitch,NM-16ESW=,1.0,00000000000
192.168.160.134,3725 chassis,3725 chassis,,0.1,FTX0945W0MY
192.168.160.134,16 Port 10BaseT/100BaseTX EtherSwitch,16 Port 10BaseT/100BaseTX EtherSwitch,NM-16ESW=,1.0,00000000000
